6y63,Date,Open,High,Low,Close
NIFTY 50,12-Apr-24,22677.4,22726.45,22503.75,22519.4
NIFTY 50,10-Apr-24,22720.25,22775.7,22673.7,22753.8
NIFTY 50,9-Apr-24,22765.1,22768.4,22612.25,22642.75
NIFTY 50,8-Apr-24,22578.35,22697.3,22550.35,22666.3
NIFTY 50,5-Apr-24,22486.4,22537.6,22427.6,22513.7
NIFTY 50,4-Apr-24,22592.1,22619,22303.8,22514.65
NIFTY 50,3-Apr-24,22385.7,22521.1,22346.5,22434.65
NIFTY 50,2-Apr-24,22458.8,22497.6,22388.15,22453.3
NIFTY 50,1-Apr-24,22455,22529.95,22427.75,22462
NIFTY 50,28-Mar-24,22163.6,22516,22163.6,22326.9
NIFTY 50,27-Mar-24,22053.95,22193.6,22052.85,22123.65
NIFTY 50,26-Mar-24,21947.9,22073.2,21947.55,22004.7
NIFTY 50,22-Mar-24,21932.2,22180.7,21883.3,22096.75
NIFTY 50,21-Mar-24,21989.9,22080.95,21941.3,22011.95
NIFTY 50,20-Mar-24,21843.9,21930.9,21710.2,21839.1
NIFTY 50,19-Mar-24,21946.45,21978.3,21793.1,21817.45
NIFTY 50,18-Mar-24,21990.1,22123.7,21916.55,22055.7
NIFTY 50,15-Mar-24,22064.85,22120.9,21931.7,22023.35
NIFTY 50,14-Mar-24,21982.55,22204.6,21917.5,22146.65
NIFTY 50,13-Mar-24,22432.2,22446.75,21905.65,21997.7
NIFTY 50,12-Mar-24,22334.45,22452.55,22256,22335.7
NIFTY 50,11-Mar-24,22517.5,22526.6,22307.25,22332.65
NIFTY 50,7-Mar-24,22505.3,22525.65,22430,22493.55
NIFTY 50,6-Mar-24,22327.5,22497.2,22224.35,22474.05
NIFTY 50,5-Mar-24,22371.25,22416.9,22269.15,22356.3
NIFTY 50,4-Mar-24,22403.5,22440.9,22358.3,22405.6
NIFTY 50,2-Mar-24,22406.95,22419.55,22367.05,22378.4
NIFTY 50,1-Mar-24,22048.3,22353.3,22047.75,22338.75
NIFTY 50,29-Feb-24,21935.2,22060.55,21860.65,21982.8
NIFTY 50,28-Feb-24,22214.1,22229.15,21915.85,21951.15
NIFTY 50,27-Feb-24,22090.2,22218.25,22085.65,22198.35
NIFTY 50,26-Feb-24,22169.2,22202.15,22075.15,22122.05
NIFTY 50,23-Feb-24,22290,22297.5,22186.1,22212.7
NIFTY 50,22-Feb-24,22081.55,22252.5,21875.25,22217.45
NIFTY 50,21-Feb-24,22248.85,22249.4,21997.95,22055.05
NIFTY 50,20-Feb-24,22099.2,22215.6,22045.85,22196.95
NIFTY 50,19-Feb-24,22103.45,22186.65,22021.05,22122.25
NIFTY 50,16-Feb-24,22020.3,22068.65,21968.95,22040.7
NIFTY 50,15-Feb-24,21906.55,21953.85,21794.8,21910.75
NIFTY 50,14-Feb-24,21578.15,21870.85,21530.2,21840.05
NIFTY 50,13-Feb-24,21664.3,21766.8,21543.35,21743.25
NIFTY 50,12-Feb-24,21800.8,21831.7,21574.75,21616.05
NIFTY 50,9-Feb-24,21727,21804.45,21629.9,21782.5
NIFTY 50,8-Feb-24,22009.65,22011.05,21665.3,21717.95
NIFTY 50,7-Feb-24,22045.05,22053.3,21860.15,21930.5
NIFTY 50,6-Feb-24,21825.2,21951.4,21737.55,21929.4
NIFTY 50,5-Feb-24,21921.05,21964.3,21726.95,21771.7
NIFTY 50,2-Feb-24,21812.75,22126.8,21805.55,21853.8
NIFTY 50,1-Feb-24,21780.65,21832.95,21658.75,21697.45
NIFTY 50,31-Jan-24,21487.25,21741.35,21448.85,21725.7
NIFTY 50,30-Jan-24,21775.75,21813.05,21501.8,21522.1
NIFTY 50,29-Jan-24,21433.1,21763.25,21429.6,21737.6
NIFTY 50,25-Jan-24,21454.6,21459,21247.05,21352.6
NIFTY 50,24-Jan-24,21185.25,21482.35,21137.2,21453.95
NIFTY 50,23-Jan-24,21716.7,21750.25,21192.6,21238.8
NIFTY 50,20-Jan-24,21706.15,21720.3,21541.8,21571.8
NIFTY 50,19-Jan-24,21615.2,21670.6,21575,21622.4
NIFTY 50,18-Jan-24,21414.2,21539.4,21285.55,21462.25
NIFTY 50,17-Jan-24,21647.25,21851.5,21550.45,21571.95
NIFTY 50,16-Jan-24,22080.5,22124.15,21969.8,22032.3
NIFTY 50,15-Jan-24,22053.15,22115.55,21963.55,22097.45
NIFTY 50,12-Jan-24,21773.55,21928.25,21715.15,21894.55
NIFTY 50,11-Jan-24,21688,21726.5,21593.75,21647.2
NIFTY 50,10-Jan-24,21529.3,21641.85,21448.65,21618.7
NIFTY 50,9-Jan-24,21653.6,21724.45,21517.85,21544.85
NIFTY 50,8-Jan-24,21747.6,21763.95,21492.9,21513
NIFTY 50,5-Jan-24,21705.75,21749.6,21629.2,21710.8
NIFTY 50,4-Jan-24,21605.8,21685.65,21564.55,21658.6
NIFTY 50,3-Jan-24,21661.1,21677,21500.35,21517.35
NIFTY 50,2-Jan-24,21751.35,21755.6,21555.65,21665.8
NIFTY 50,1-Jan-24,21727.75,21834.35,21680.85,21741.9
NIFTY 50,29-Dec-23,21737.65,21770.3,21676.9,21731.4
NIFTY 50,28-Dec-23,21715,21801.45,21678,21778.7
NIFTY 50,27-Dec-23,21497.65,21675.75,21495.8,21654.75
NIFTY 50,26-Dec-23,21365.2,21477.15,21329.45,21441.35
NIFTY 50,22-Dec-23,21295.85,21390.5,21232.45,21349.4
NIFTY 50,21-Dec-23,21033.95,21288.35,20976.8,21255.05
NIFTY 50,20-Dec-23,21543.5,21593,21087.35,21150.15
NIFTY 50,19-Dec-23,21477.65,21505.05,21337.75,21453.1
NIFTY 50,18-Dec-23,21434.8,21482.8,21365.35,21418.65
NIFTY 50,15-Dec-23,21287.45,21492.3,21235.3,21456.65
NIFTY 50,14-Dec-23,21110.4,21210.9,21074.45,21182.7
NIFTY 50,13-Dec-23,20929.75,20950,20769.5,20926.35
NIFTY 50,12-Dec-23,21018.55,21037.9,20867.15,20906.4
NIFTY 50,11-Dec-23,20965.3,21026.1,20923.7,20997.1
NIFTY 50,8-Dec-23,20934.1,21006.1,20862.7,20969.4
NIFTY 50,7-Dec-23,20932.4,20941.25,20850.8,20901.15
NIFTY 50,6-Dec-23,20950.75,20961.95,20852.15,20937.7
NIFTY 50,5-Dec-23,20808.9,20864.05,20711.15,20855.1
NIFTY 50,4-Dec-23,20601.95,20702.65,20507.75,20686.8
NIFTY 50,1-Dec-23,20194.1,20291.55,20183.7,20267.9
NIFTY 50,30-Nov-23,20108.5,20158.7,20015.85,20133.15
NIFTY 50,29-Nov-23,19976.55,20104.65,19956.3,20096.6
NIFTY 50,28-Nov-23,19844.65,19916.85,19800,19889.7
NIFTY 50,24-Nov-23,19809.6,19832.85,19768.85,19794.7
NIFTY 50,23-Nov-23,19828.45,19875.15,19786.75,19802
NIFTY 50,22-Nov-23,19784,19825.55,19703.85,19811.85
NIFTY 50,21-Nov-23,19770.9,19829.1,19754.05,19783.4
NIFTY 50,20-Nov-23,19731.15,19756.45,19670.5,19694
NIFTY 50,17-Nov-23,19674.75,19806,19667.45,19731.8
NIFTY 50,16-Nov-23,19674.7,19875.25,19627,19765.2
NIFTY 50,15-Nov-23,19651.4,19693.2,19579.65,19675.45
NIFTY 50,13-Nov-23,19486.75,19494.4,19414.75,19443.55
NIFTY 50,12-Nov-23,19547.25,19547.25,19510.25,19525.55
NIFTY 50,10-Nov-23,19351.85,19451.3,19329.45,19425.35
NIFTY 50,9-Nov-23,19457.4,19463.9,19378.35,19395.3
NIFTY 50,8-Nov-23,19449.6,19464.4,19401.5,19443.5
NIFTY 50,7-Nov-23,19404.05,19423.5,19329.1,19406.7
NIFTY 50,6-Nov-23,19345.85,19423,19309.7,19411.75
NIFTY 50,3-Nov-23,19241,19276.25,19210.9,19230.6
NIFTY 50,2-Nov-23,19120,19175.25,19064.15,19133.25
